	PV2	PV5	PV6	PV7	PV8	PV9
Cluster-515.0	0	0	0	0	0	26
Cluster-516.0	0	0	0	0	0	15
Cluster-517.0	0	0	0	0	0	12
Cluster-518.0	0	0	0	0	0	24
Cluster-519.0	0	0	0	0	0	15
Cluster-520.0	0	0	0	0	0	18
Cluster-521.0	0	0	0	0	0	30
Cluster-522.0	0	0	0	0	0	13
Cluster-523.0	0	0	0	0	0	13
Cluster-524.0	0	0	0	0	0	10
Cluster-525.0	0	0	0	0	0	16
Cluster-526.0	0	0	0	0	0	23
Cluster-527.0	0	0	0	0	0	541
Cluster-528.0	0	0	0	0	0	18
Cluster-529.0	0	0	0	0	0	33
Cluster-530.0	0	0	0	0	0	15
Cluster-531.0	0	0	0	0	0	81
Cluster-532.0	0	0	0	0	0	39
Cluster-533.0	0	0	0	0	0	14
Cluster-534.0	0	0	0	0	0	59
Cluster-535.0	0	0	0	0	0	29
Cluster-536.0	0	0	0	0	0	29
Cluster-537.0	0	0	0	0	0	28
Cluster-538.0	0	0	0	0	0	64
Cluster-539.0	0	0	0	0	0	19
Cluster-540.0	0	0	0	0	0	17
Cluster-541.0	0	0	0	0	0	38
Cluster-542.0	0	0	0	0	0	28
Cluster-543.0	0	0	0	0	0	13
Cluster-544.0	0	0	0	0	0	108
Cluster-544.1	0	0	0	0	0	175
Cluster-545.0	0	0	0	0	0	109
Cluster-546.0	0	0	0	0	0	21
Cluster-547.0	0	0	0	0	0	10
Cluster-548.0	0	0	0	0	0	53
Cluster-549.0	0	0	0	0	0	20
Cluster-550.0	0	0	0	0	0	250
Cluster-551.0	0	0	0	0	0	14
Cluster-552.0	0	0	0	0	0	25
Cluster-553.0	0	0	0	0	0	22
Cluster-554.0	0	0	0	0	0	30
Cluster-555.0	0	0	0	0	0	34
Cluster-556.0	0	0	0	0	0	36
Cluster-557.0	0	0	0	0	0	14
Cluster-558.0	0	0	0	0	0	42
Cluster-559.0	0	0	0	0	0	37
Cluster-560.0	0	0	0	0	0	30
Cluster-561.0	0	0	0	0	0	32
Cluster-562.0	0	0	0	0	0	20
Cluster-563.0	0	0	0	0	0	23
Cluster-564.0	0	0	0	0	0	41
Cluster-565.0	0	0	0	0	0	36
Cluster-566.0	0	0	0	0	0	20
Cluster-567.0	0	0	0	0	0	28
Cluster-568.0	0	0	0	0	0	10
Cluster-569.0	0	0	0	0	0	39
Cluster-570.0	0	0	0	0	0	47
Cluster-571.0	0	0	0	0	0	37
Cluster-572.0	0	0	0	0	0	26
Cluster-573.0	0	0	0	0	0	28
Cluster-574.0	0	0	0	0	0	18
Cluster-575.0	0	0	0	0	0	10
Cluster-576.0	0	0	0	0	0	11
Cluster-577.0	0	0	0	0	0	11
Cluster-578.0	0	0	0	0	0	37
Cluster-579.0	0	0	0	0	0	21
Cluster-580.0	0	0	0	0	0	24
Cluster-581.0	0	43	0	0	3	21
Cluster-582.0	0	0	0	0	0	17
Cluster-583.0	0	0	0	0	0	12
Cluster-584.0	0	0	0	0	0	20
Cluster-585.0	0	0	0	0	0	16
Cluster-586.0	0	0	0	0	0	26
Cluster-587.0	0	0	0	0	0	11
Cluster-588.0	0	0	0	0	0	11
Cluster-589.0	0	0	0	0	0	11
Cluster-590.0	0	0	0	0	0	46
Cluster-591.0	0	0	0	0	0	48
Cluster-592.0	0	0	0	0	0	21
Cluster-593.0	0	0	0	0	0	29
Cluster-594.0	0	0	0	0	0	18
Cluster-595.0	0	0	0	0	0	55
Cluster-596.0	0	0	0	0	0	12
Cluster-597.0	0	0	0	0	0	27
Cluster-598.0	0	0	0	0	0	22
Cluster-599.0	0	0	0	0	0	14
Cluster-600.0	0	0	0	0	0	29
Cluster-601.0	0	0	0	0	0	22
Cluster-602.0	0	0	0	0	0	11
Cluster-603.0	0	0	0	0	0	16
Cluster-604.0	0	0	0	0	0	15
Cluster-605.0	0	0	0	0	0	20
Cluster-606.0	0	0	0	0	0	30
Cluster-607.0	0	0	0	0	0	19
Cluster-608.0	0	0	0	0	0	35
Cluster-609.0	0	0	0	0	0	15
Cluster-610.0	0	0	0	0	0	15
Cluster-611.0	0	0	0	0	0	24
Cluster-612.0	0	0	0	0	0	16
Cluster-613.0	0	0	0	0	0	19
Cluster-614.0	0	0	0	0	0	18
Cluster-615.0	0	0	0	0	0	36
Cluster-616.0	0	0	0	0	0	40
Cluster-617.0	0	0	0	0	0	15
Cluster-618.0	0	0	0	0	0	13
Cluster-619.0	0	0	0	0	0	31
Cluster-620.0	0	0	0	0	0	16
Cluster-621.0	0	0	0	0	0	17
Cluster-622.0	0	0	0	0	0	19
Cluster-623.0	0	0	0	0	0	36
Cluster-624.0	0	0	0	0	0	26
Cluster-625.0	0	0	0	0	0	17
