	WC1E	WC1T	WC2E	WC2T	WC3E	WC3T	WH3E	WH5E	WH5T	WH6E	WH6T
Cluster-231.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-232.0	0	0	0	0	0	0	0	0	0	0	36
Cluster-233.0	0	0	0	0	0	0	0	0	0	0	28
Cluster-234.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-234.1	0	0	0	0	0	0	0	0	0	0	22
Cluster-235.0	0	0	0	0	0	0	0	0	0	0	38
Cluster-236.0	0	0	0	4	0	0	0	0	0	0	23
Cluster-236.1	0	0	0	6	0	0	0	0	0	0	49
Cluster-236.2	0	0	0	1	0	0	16	0	0	2	58
Cluster-237.0	0	0	0	0	0	0	0	0	0	0	20
Cluster-238.0	0	0	0	0	0	0	0	0	0	0	19
Cluster-239.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-240.0	0	0	0	0	0	0	0	0	0	0	92
Cluster-241.0	0	0	0	0	0	0	0	0	0	0	7
Cluster-241.1	0	0	0	0	0	0	0	0	0	14	74
Cluster-242.0	0	0	0	0	0	0	0	0	0	0	69
Cluster-243.0	0	0	0	0	0	0	0	0	0	0	51
Cluster-244.0	0	0	0	0	0	0	0	0	0	0	34
Cluster-245.0	0	0	0	0	0	0	0	0	0	0	19
Cluster-246.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-247.0	0	0	0	0	0	0	0	0	0	0	35
Cluster-247.1	0	0	0	0	0	0	0	0	0	0	11
Cluster-248.0	0	0	0	0	0	0	0	0	0	0	46
Cluster-248.1	0	0	1	0	0	0	0	0	0	4	266
Cluster-249.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-249.1	0	0	4	2	3	0	0	1	0	0	0
Cluster-249.2	10	21	12	31	27	55	4	1	10	67	124
Cluster-250.0	0	0	0	0	0	0	0	0	0	0	39
Cluster-250.1	0	0	0	0	0	0	0	0	0	0	292
Cluster-251.0	0	0	0	0	0	0	0	0	0	0	49
Cluster-252.0	0	0	0	0	0	0	0	7	2	48	751
Cluster-253.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-254.0	0	0	0	0	0	0	0	0	0	0	27
Cluster-255.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-256.0	0	0	0	0	0	0	0	0	0	0	15
Cluster-257.0	0	0	0	0	0	0	0	0	0	0	207
Cluster-258.0	0	0	0	0	0	0	0	0	0	0	17
Cluster-259.0	0	0	0	0	0	0	0	0	0	0	23
Cluster-260.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-261.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-262.0	0	0	0	0	0	0	0	0	0	0	322
Cluster-263.0	0	0	0	0	0	0	0	0	0	0	22
Cluster-263.1	0	0	0	0	0	0	0	0	0	0	46
Cluster-264.0	0	0	0	0	0	0	0	0	0	0	20
Cluster-265.0	0	0	0	0	0	0	0	0	0	0	14
Cluster-266.0	0	0	0	0	0	0	0	0	0	0	153
Cluster-267.0	0	0	0	0	0	0	0	0	0	0	24
Cluster-268.0	0	0	0	0	0	0	0	0	0	0	129
Cluster-269.0	0	0	0	0	0	0	0	0	0	0	19
Cluster-270.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-271.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-272.0	0	0	0	0	0	0	0	0	0	0	159
Cluster-273.0	0	0	0	0	0	0	0	0	0	0	634
Cluster-274.0	0	0	0	0	0	0	0	0	0	0	22
Cluster-274.1	0	0	0	0	0	0	0	0	0	19	54
Cluster-275.0	0	0	0	0	0	0	0	0	0	0	24
Cluster-276.0	0	0	0	0	0	0	0	0	0	0	78
Cluster-277.0	0	0	0	0	0	0	0	0	0	0	16
Cluster-278.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-278.1	0	0	0	0	0	0	0	0	0	0	15
Cluster-279.0	0	0	0	0	0	0	0	0	0	10	9
Cluster-279.1	0	0	0	0	0	0	0	0	0	0	41
Cluster-279.2	0	0	0	0	0	0	0	0	0	2	47
Cluster-280.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-281.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-282.0	0	0	0	0	0	0	0	0	0	0	159
Cluster-283.0	0	0	0	0	0	0	0	0	0	0	11
Cluster-284.0	0	0	0	0	0	0	0	0	0	0	30
Cluster-285.0	0	0	0	0	0	0	0	0	0	0	986
Cluster-286.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-287.0	0	0	0	0	0	0	0	0	0	0	241
Cluster-288.0	0	0	0	0	0	0	0	0	0	0	141
Cluster-289.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-289.1	0	0	0	0	0	0	0	0	0	0	11
Cluster-290.0	0	0	0	0	0	0	0	0	0	0	17
Cluster-291.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-292.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-293.0	0	0	0	0	0	0	0	0	0	0	22
Cluster-294.0	0	0	0	0	0	0	0	0	0	0	13
Cluster-295.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-296.0	0	0	0	0	0	0	0	0	0	0	12
Cluster-297.0	0	0	0	0	0	0	0	0	0	0	258
Cluster-298.0	0	0	0	0	0	0	0	0	0	0	10
Cluster-299.0	0	0	0	0	0	0	0	0	0	0	17
